Nome_Companhia,CNPJ_Companhia,Categoria,Tipo,Assunto,Data_Referencia,Data_Entrega,Link_Download
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Aquisição de Participação no Campo de Albacora Leste,2022-04-27,2022-04-27,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=971695&numSequencia=496429&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,FATO RELEVANTE - AQUISIÇÃO DE PARTICIPAÇÃO NO CAMPO DE ALBACORA LESTE,2022-04-28,2022-04-28,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=972062&numSequencia=496796&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Certificação de Reservas,2022-05-04,2022-05-04,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=976729&numSequencia=501463&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Aquisição de Sonda,2022-05-10,2022-05-10,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=979621&numSequencia=504355&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Waiver Repsol e Certificado de Reserva de Albacora Leste,2022-05-30,2022-05-30,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=985954&numSequencia=510688&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Aquisição de Sonda,2022-06-06,2022-06-06,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=988192&numSequencia=512926&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Início de Produção do Poço ODP4,2022-07-07,2022-07-07,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=996066&numSequencia=520800&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Início de produção do Poço ODP4,2022-07-11,2022-07-11,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=997243&numSequencia=521977&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Emissão de Debêntures,2022-07-20,2022-07-20,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=999302&numSequencia=524036&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Início de produção do Poço MUP3A,2022-08-01,2022-08-01,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1002292&numSequencia=527026&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,INTERRUPÇÃO TEMPORÁRIA DE PRODUÇÃO EM FRADE,2022-08-15,2022-08-15,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1008337&numSequencia=533071&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Liquidação da Emissão de Debêntures,2022-08-24,2022-08-24,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1010677&numSequencia=535411&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,RETOMADA DA PRODUÇÃO EM FRADE,2022-08-25,2022-08-25,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1010955&numSequencia=535689&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Aquisição Dommo,2022-09-01,2022-09-01,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1012530&numSequencia=537264&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,ENCERRAMENTO DAS NEGOCIAÇÕES DE ALBACORA,2022-09-08,2022-09-08,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1014122&numSequencia=538856&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Aquisição de Participação em Itaipu,2022-09-26,2022-09-26,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1017549&numSequencia=542283&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Assinatura do Protocolo de Incorporação da Dommo,2022-10-03,2022-10-03,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1018830&numSequencia=543564&numVersao=2
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Programa de Recompra de Ações,2022-10-03,2022-10-03,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1018818&numSequencia=543552&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,APROVAÇÃO DA INCORPORAÇÃO DE AÇÕES DA DOMMO,2022-10-24,2022-10-24,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1024088&numSequencia=548821&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Alienação de Participação em Manati,2022-11-03,2022-11-03,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1027364&numSequencia=552097&numVersao=2
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,Aprovação da Incorporação de Ações da Dommo,2022-12-08,2022-12-08,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1039258&numSequencia=563988&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,PERÍODO DE OPÇÃO - PROCEDIMENTOS &amp DATA DE FECHAMENTO,2022-12-16,2022-12-16,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1042365&numSequencia=567095&numVersao=1
PRIO S.A.,10.629.105/0001-68,Fato Relevante,,PERÍODO DE OPÇÃO - PROCEDIMENTOS &amp DATA DE FECHAMENTO,2022-12-16,2022-12-16,https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&descTipo=IPE&CodigoInstituicao=1&numProtocolo=1042373&numSequencia=567103&numVersao=2
